sku,marca,descripcion,prioridad
PFR01,surtek,PINZA PARA ANILLOS DE RETENCIÓN CON CABEZA INTERCAMBIABLE,1
PFR02,surtek,PINZA PARA ANILLOS DE RETENCIÓN CON CABEZA INTERCAMBIABLE,1
